section,set,number_in_set,question,answer
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,33,beruntung,"lucky, fortunate"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,34,menguntungkan,to benefit something or someone; profitable
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,35,diuntungkan,to be benefited
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,36,keuntungan,"profit, advantage"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,37,keberuntungan,luck
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,38,kumpulan,"a group of, a collection of"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,39,berkumpul,"to get together, to gather"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,40,mengumpulkan,"to collect things, to gather things; to submit (i.e.: homework)"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,41,dikumpulkan,"to be collected, to be gathered; to be submitted (i.e.: homework)"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,42,terkumpul,"is collected, is gathered"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,43,pengumpul,collector
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,44,pengumpulan,the act/process of collecting/gathering
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,45,perkumpulan,association
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,46,(pada) umumnya,"generally, in general"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,47,umum,"general, common; public"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,48,mengumumkan,"to announce, to make public"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,49,diumumkan,"to be announced, to be made public"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,50,pengumuman,"the act/process of announcing, announcement"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,51,menjadi,to become
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,52,menjadikan,to make something become
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,53,dijadikan,to be made into
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,54,terjadi,"to occur, to happen"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,55,kejadian,"incident, occurrence"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,56,kunjungan,"the visit, the visitation"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,57,berkunjung,to visit (intransitive form)
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,58,mengunjungi,to visit (a person or a place) (transitive form)
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,59,dikunjungi,to be visited
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 1,60,pengunjung,visitor
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,1,salah paham,misunderstand
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,2,salah,wrong
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,3,bersalah,guilty
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,4,menyalahi,to violate
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,5,menyalahkan,to blame
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,6,kesalahan,"error, mistake"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,7,disalahkan,to be blamed
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,8,bentuk,"form, shape"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,9,berbentuk,to have a shape
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,10,membentuk,"to form, to shape"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,11,terbentuk,"is formed, is shaped"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,12,bentukan,something which is formed/shaped
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,13,pembentuk,something or someone that forms/shapes
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,14,pembentukan,the act/process of forming
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,15,dibentuk,"to be formed, to be shaped"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,16,"amat, teramat",very (similar to 'sangat')
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,17,mengamati,to observe
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,18,pengamat,observer
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,19,pengamatan,"the act/process of observing, observation"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,20,diamati,to be observed
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,21,"batas, batasan",limit
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,22,berbatas,"to have a border, to have a limit"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,23,berbatasan,"to border (with), be adjacent (with)"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,24,berbataskan,to border with
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,25,membatasi,to limit
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,26,dibatasi,"to be limited, to be restricted"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,27,terbatas,is limited
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,28,perbatasan,border (i.e.: between countries)
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,29,pembatas,barrier
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,30,pembatasan,the act/process of limiting
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,31,keterbatasan,limitation
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,32,perang dagang,trade war
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,33,hubungan dagang,trade relations
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,34,berdagang,"to trade, to earn a living by buying & selling, to deal in such-&-such a commodity"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,35,"mendagangkan, memperdagangkan",to trade something
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,36,dagangan,merchandise
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,37,pedagang,"trader, merchant"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,38,perdagangan,the trading
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,39,"didagangkan, diperdagangkan",to be traded
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,40,berlatih,to practice
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,41,melatih,to train/coach
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,42,terlatih,is trained
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,43,latihan,"practice, exercise, training"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,44,pelatih,trainer
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,45,pelatihan,the act/process of training/coaching
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,46,dilatih,to be trained
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,47,berhubungan,"to have relations, related"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,48,menghubungi,to contact
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,49,dihubungi,to be contacted
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,50,"menghubungkan, memperhubungkan",to connect
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,51,dihubungkan,to be connected
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,52,hubungan,"relationship, connection"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,53,perhubungan,"connection, relation, everything related to traffic and telecommunications (such as roads, shipping, aviation, post)"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,54,penghubung,"connector, link"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,55,penghubungan,the act/process of connecting
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,56,terhubung,is connected
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,57,daftar,"list, register"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,58,mendaftar,"to enlist, to sign up (intransitive verb); to make a list of items (transitive verb)"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,59,mendaftarkan,to register/enroll someone/something
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,60,terdaftar,"is registered, is listed"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,61,pendaftar,registrant
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,62,pendaftaran,"the act/process of registering/listing, registration"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,63,didaftar,"to be put into a list, to be listed"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,64,didaftarkan,to be registered
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,65,lengkap,complete
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,66,melengkapi,"to complete (i.e.: an incomplete document, form, etc)"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,67,perlengkapan,equipment
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,68,memperlengkapi,to equip
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,69,pelengkap,"something/someone who completes, complement"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,70,kelengkapan,completeness
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,71,dilengkapi,to be completed
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,72,diperlengkapi,to be equipped
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,73,"sedia, siap",ready
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,74,bersedia,willing to
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,75,menyediakan,to provide
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,76,tersedia,is available
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,77,ketersediaan,availability
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,78,persediaan,"stock, supply"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,79,penyedia,provider
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,80,penyediaan,the act/process of providing
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,81,kesediaan,willingness
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 2,82,disediakan,to be provided
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,1,awas,"Watch out!; careful, wary"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,2,mengawasi,to keep an eye on; to invigilate
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,3,diawasi,"to be watched, to be supervised"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,4,terawasi,"is watched, is supervised"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,5,pengawas,supervisor; invigilator
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,6,pengawasan,"supervision, overseeing, monitoring"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,7,hasil,the result
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,8,berhasil,successful
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,9,keberhasilan,success
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,10,menghasilkan,to produce
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,11,dihasilkan,to be produced
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,12,penghasil,producer
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,13,penghasilan,"income, earnings"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,14,pengaruh,influence
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,15,berpengaruh,influential
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,16,memengaruhi,to influence
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,17,dipengaruhi,to be influenced
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,18,terpengaruh,"is affected, is influenced"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,19,timbangan,weighing scale
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,20,menimbang,to weigh
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,21,ditimbang,to be weighed
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,22,pertimbangan,consideration
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,23,mempertimbangkan,to consider
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,24,dipertimbangkan,to be considered
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,25,setimbang,balanced
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,26,menekan,to press
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,27,ditekan,to be pressed
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,28,menekankan,to emphasize
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,29,ditekankan,to be emphasized
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,30,tekanan,pressure
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,31,penekan,suppressor
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,32,tertekan,is depressed
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,33,penekanan,emphasis
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,34,ukuran,"size, measurement"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,35,berukuran,has a size
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,36,mengukur,to measure
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,37,diukur,to be measured
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,38,pengukur,the tool or the person that measures
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,39,pengukuran,the act/process of measuring
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,40,beredar,to circulate (intransitive verb)
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,41,"mengedarkan, memperedarkan",to circulate something
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,42,"diedarkan, diperedarkan",to be circulated
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,43,edaran,circular
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,44,pengedar,"dealer, distributor"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,45,peredaran,"circulation, distribution"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,46,adil,"fair, just"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,47,mengadili,to judge
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,48,diadili,"to be judged, to be put on trial"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,49,peradilan,justice system
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,50,pengadilan,"court, trial"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,51,keadilan,"justice, fairness"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,52,seadil,as fair as
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,53,seadil-adilnya,as fair as possible
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,54,akibat,"consequence (as a noun); as a consequence of, because of (as a conjunction)"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,55,berakibat,to have a consequence
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,56,mengakibatkan,"to cause, to result in"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,57,diakibatkan,to be caused
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,58,mendorong,"to push, to encourage"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,59,didorong,"to be pushed, to be encouraged"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,60,terdorong,"is pushed, is encouraged"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,61,dorongan,"an encouragement, a push"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 3,62,pendorong,pusher
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,1,utama,main
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,2,mengutamakan,to prioritize
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,3,diutamakan,to be prioritized
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,4,terutama,especially
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,5,pengutamaan,the act/process of prioritizing
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,6,keutamaan,"virtue, superiority"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,7,"tumbuh, bertumbuh",to grow
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,8,menumbuhi,to grow on
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,9,ditumbuhi,to be grown (with)
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,10,menumbuhkan,to make something grow
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,11,ditumbuhkan,to be made grown
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,12,tumbuhan,plant
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,13,pertumbuhan,growth
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,14,penumbuh,grower
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,15,penumbuhan,the act/process of growing something
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,16,"tetumbuhan, tumbuh-tumbuhan",vegetation
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,17,melarang,"to forbid, to prohibit"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,18,dilarang,"to be forbidden, to be prohibited"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,19,terlarang,"is forbidden, is prohibited"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,20,larangan,"prohibition, restriction (a law or regulation forbidding something)"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,21,pelarangan,the act/process of prohibiting
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,22,ingat,remember
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,23,"ingat, mengingat",to recall
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,24,diingat,to be remembered
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,25,mengingatkan,to remind someone
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,26,diingatkan,to be reminded
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,27,teringat,recalled
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,28,ingatan,"memory, recollection"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,29,peringatan,"warning; commemoration, rememberance"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,30,memperingati,to commemorate
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,31,diperingati,to be commemorated
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,32,memperingatkan,to warn; to reprimand
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,33,diperingatkan,to be warned
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,34,seingat,as far as one remembers
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,35,bersaing,to compete
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,36,menyaingi,to rival
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,37,tersaingi,is rivaled
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,38,"saingan, pesaing","rivals, competitors"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,39,persaingan,"competition, rivalry"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,40,daya saing,competitiveness
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,41,disaingi,to be rivaled
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,42,menang,win
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,43,memenangkan,to win something (must have an object)
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,44,dimenangkan,to be won
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,45,pemenang,winner
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,46,kemenangan,victory
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,47,wakil,"vice, deputy; representative"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,48,mewakili,to represent
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,49,diwakili,to be represented
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,50,perwakilan,representative
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,51,biasa,"usual, ordinary, normal"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,52,membiasakan,to get used to
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,53,dibiasakan,to be made into a usual/ordinary/normal thing
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,54,terbiasa,is get used to
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,55,kebiasaan,habit
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,56,"biasa, biasanya",usually
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,57,halangan,"hindrance, obstacle"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,58,berhalangan,"to have a hindrance/obstacle, unable to"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,59,menghalangi,to hinder
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,60,dihalangi,"to be blocked, to be hampered"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,61,terhalang,is hindered
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,62,penghalang,"barrier, hindrance"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,63,teliti,"thorough, meticulous"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,64,meneliti,to research; to examine carefully
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,65,diteliti,to be researched; to be examined carefully
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,66,peneliti,researcher
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 4,67,penelitian,research
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,1,bukti,proof
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,2,membuktikan,to prove something
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,3,dibuktikan,to be proven
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,4,terbukti,"is proven, is evident"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,5,pembuktian,"the act/process of proving, corroboration"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,6,anggapan,"assumption, presumption"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,7,beranggapan,to have the assumption
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,8,menganggap,"to assume, to presume; to consider/regard something as"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,9,dianggap,to be considered/regarded
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,10,menghindar,to dodge
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,11,menghindari,"to avoid, to evade"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,12,dihindari,to be avoided/evaded
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,13,menghindarkan,"to avoid, to prevent"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,14,dihindarkan,to be avoided/prevented
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,15,terhindar,"is avoided/evaded, is spared"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,16,berkaitan,to have a link
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,17,mengaitkan,to link
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,18,dikaitkan,to be linked
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,19,terkait,is linked
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,20,keterkaitan,linkage
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,21,kaitan,"connection, relation, link"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,22,pengait,something that links
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,23,harga,price
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,24,berharga,"valuable, precious; to have a price"
I1 Kosakata Berimbuhan,I1 Kosakata Berimbuhan - Set 5,25,menghargai,"to appreciate, to value; to give a price to"
