section,set,number_in_set,question,answer
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,31,ketat,"strict, tight"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,32,keunggulan,excellence
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,33,khusus,special
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,34,kimia,chemistry
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,35,korban,"victim, casualty"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,36,lahan,"land, terrain"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,37,"LANUD, Pangkalan TNI Angkatan Udara",Indonesian Air Force Base
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,38,liter,liter
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,39,mampu,"to afford, to be able to"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,40,melibatkan,to involve
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,41,mempercepat,to speed up
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,42,memuat,"to load, to contain, to accomodate"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,43,mencanangkan,"to declare, to proclaim, to announce"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,44,mengatasi,to overcome
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,45,mengatur,"to organize, to arrange"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,46,menghadapi,to face
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,47,mengumpulkan,to collect
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,48,mengunjungi,to visit (as a transitive verb)
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,49,meningkatkan,"to improve, to increase"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,50,minat,interest
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,51,multifungsi,multifunction
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,52,mutu,quality
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,53,"Namun, Akan tetapi","However,"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,54,nonformal,non-formal
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,55,otomatis,automatic
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,56,palsu,"fake, imitation"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,57,pameran,exhibition
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,58,pemadam,extinguisher (either the person or the item)
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,59,penanganan,the act/process of handling
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,60,penanggulangan,the act/process of tackling
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,61,pencegahan,"the act/process of preventing, prevention"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,62,pendidik,educator
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,63,pengajar,"teacher, instructor"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,64,peralatan,"equipment, tools"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,65,perayaan,celebration
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,66,perbuatan,"deed, act"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,67,perpustakaan,library
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,68,personel,personnel
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,69,prospek,prospect
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,70,proyek,project
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,71,rendah,low
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,72,sedikitnya,at least
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,73,seimbang,balanced
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,74,sempat,had time
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,75,teladan,"role model, example (person)"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,76,terbentuk,"is formed, is shaped"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,77,terbukti,is proven
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,78,termasuk,"including, is included"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,79,terpencil,"is isolated, is remote"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,80,tim,team
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,81,tugas,"duty, task, assignment"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,82,"tumbuh, bertumbuh",grow
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,83,untungnya,"fortunately, luckily"
BI SLE Vocabulary,BI SLE Vocabulary - Set 2,84,"upaya, usaha",effort
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,1,akibat,"consequence, result"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,2,bahaya,danger
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,3,berdasarkan,based on
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,4,berpenduduk,to have a population
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,5,biaya,"cost, expense, fee"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,6,buruk,"bad, poor"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,7,dampak,impact
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,8,darah,blood
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,9,daya,power
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,10,daya tarik,"appeal, attractiveness"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,11,dianjurkan,"to be advocated, to be encouraged, to be recommended"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,12,"dorong, mendorong",to push; to encourage
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,13,efek,effect
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,14,gaya,style
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,15,"gizi, nutrisi",nutrition
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,16,hewan,animal
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,17,"inflamasi, radang",inflammation
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,18,jantung,heart (organ)
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,19,jiwa,"soul, life"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,20,kadar,"level, rate"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,21,kain,"cloth, fabric"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,22,kain tenun,woven fabric
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,23,kaitan,"connection, relation"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,24,kanker,cancer
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,25,kawasan,district
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,26,kemacetan,jam (i.e.: traffic jam)
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,27,kematian,death
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,28,kenal,"to know, to be acquainted with"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,29,kerajinan,craft
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,30,konsumsi,consumption
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,31,kuliner,culinary
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,32,lemak,fat (in food)
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,33,lipat,fold
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,34,"lokal, setempat","local, at the same place/location"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,35,lulus,graduated
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,36,manusia,human
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,37,membuktikan,to prove something
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,38,memperoleh,"to obtain, to get, to acquire"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,39,menawarkan,to offer something
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,40,menerjemahkan,"to translate something, to interpret something"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,41,mengandung,to contain; pregnant
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,42,menganjurkan,"to advocate, to encourage, to recommend"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,43,mengolah,to process
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,44,mengonsumsi,to consume
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,45,mengumumkan,"to announce, to make public"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,46,mengurangi,to reduce
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,47,menurunkan,"to lower down, to reduce"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,48,menyimpulkan,to conclude
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,49,merangsang,to stimulate
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,50,merespons,to respond
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,51,merokok,to smoke a cigarette
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,52,minyak,oil
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,53,otak,brain
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,54,pakar,expert
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,55,paket,package
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,56,pariwisata,tourism
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,57,pasir,sand
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,58,payudara,breast
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,59,penerjemah,translator
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,60,penghasilan,"income, earnings"
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,61,pengumuman,announcement
BI SLE Vocabulary,BI SLE Vocabulary - Set 3,62,pengunjung,visitor
